lang,key,traffic,iphone_diff,iphone_apps,ipad_diff,ipad_apps,req_time,created
US,roleplaying mysterious,0.0,2.5,10,0.8,3,4.6064300537109375,2014-12-14
US,roleplaying reaction,0.0,1.0,3,0.0,0,1.5353569984436035,2014-12-14
US,roleplaying multiplayer,0.0,4.5,100,1.9,10,4.5939061641693115,2014-12-14
US,roleplaying physics,0.0,1.8,10,0.0,1,2.2673709392547607,2014-12-14
US,reaction game,2.5,3.2,1889,5.0,1230,4.4077980518341064,2014-12-14
US,reaction play,0.0,3.1,62,0.0,34,4.199084043502808,2014-12-14
US,reaction awesome,0.0,1.4,24,1.4,20,3.9866349697113037,2014-12-14
US,reaction madness,0.0,0.4,5,0.0,4,2.151395082473755,2014-12-14
US,reaction action,0.0,4.1,197,4.6,136,4.20024299621582,2014-12-14
US,reaction legendary,0.0,1.3,11,1.2,12,3.0701420307159424,2014-12-14
US,reaction tournament,0.0,0.3,7,0.0,6,2.4587597846984863,2014-12-14
US,reaction puzzle,0.0,4.3,435,3.4,240,5.019385099411011,2014-12-14
US,reaction simulation,0.0,2.6,21,1.8,9,3.105246067047119,2014-12-14
US,reaction escape,0.0,3.5,48,2.1,43,3.9624130725860596,2014-12-14
US,reaction mysterious,0.0,3.8,238,2.4,119,4.503168106079102,2014-12-14
US,reaction roleplaying,0.0,1.0,3,0.0,0,1.4589619636535645,2014-12-14
US,reaction multiplayer,0.0,3.3,66,2.8,37,4.375914096832275,2014-12-14
US,reaction physics,0.0,3.1,45,2.1,24,3.593950033187866,2014-12-14
US,multiplayer game,3.1,6.3,5095,6.1,4335,2.993082046508789,2014-12-14
US,multiplayer play,0.0,5.3,394,4.8,256,2.621735095977783,2014-12-14
US,multiplayer awesome,0.0,1.8,73,1.8,66,3.6936380863189697,2014-12-14
US,multiplayer madness,0.0,2.5,124,2.5,112,3.276305913925171,2014-12-14
US,multiplayer action,1.0,5.9,453,6.4,323,3.2766740322113037,2014-12-14
US,multiplayer legendary,0.0,3.4,48,3.4,47,4.404217004776001,2014-12-14
US,multiplayer tournament,0.0,3.9,83,3.8,60,5.316381931304932,2014-12-14
US,multiplayer puzzle,0.0,5.2,594,4.9,479,2.7738358974456787,2014-12-14
US,multiplayer simulation,0.0,6.0,178,5.0,121,3.8870201110839844,2014-12-14
US,multiplayer escape,0.0,6.2,5092,6.4,4335,2.67084002494812,2014-12-14
US,multiplayer mysterious,0.0,0.0,1,0.0,1,2.357095956802368,2014-12-14
US,multiplayer roleplaying,0.0,4.7,108,3.5,16,3.574518918991089,2014-12-14
US,multiplayer reaction,0.0,2.8,66,2.8,37,3.878109931945801,2014-12-14
US,multiplayer physics,0.0,3.4,132,3.9,112,3.3950769901275635,2014-12-14
US,physics game,3.4,5.1,5402,5.5,4324,2.76499605178833,2014-12-14
US,physics play,0.0,3.5,192,2.7,161,4.607987880706787,2014-12-14
US,physics awesome,0.0,4.1,87,1.7,71,4.711786985397339,2014-12-14
US,physics madness,0.0,0.8,57,0.7,53,4.555969953536987,2014-12-14
US,physics action,0.0,4.8,689,5.9,475,2.7104859352111816,2014-12-14
US,physics legendary,0.0,0.2,2,0.2,2,1.7653839588165283,2014-12-14
US,physics tournament,0.0,2.5,20,1.3,16,9.367974996566772,2014-12-14
US,physics puzzle,2.4,5.0,1767,5.2,1364,2.894256114959717,2014-12-14
US,physics simulation,3.2,3.0,377,5.5,327,3.683168888092041,2014-12-14
US,physics escape,0.0,2.8,175,2.5,145,6.237694025039673,2014-12-14
US,physics mysterious,0.0,0.0,2,0.0,2,1.3354079723358154,2014-12-14
US,physics roleplaying,0.0,2.6,28,3.3,24,3.7971181869506836,2014-12-14
US,physics reaction,0.0,4.8,726,5.9,496,2.6620898246765137,2014-12-14
US,physics multiplayer,0.0,3.4,132,3.9,112,3.7772860527038574,2014-12-14
